,zipcode,business_id,Mexican,American (Traditional),Pizza,American (New),Burgers,Italian,Chinese,Salad,Sports Bars,Seafood,Japanese,Barbeque,Mediterranean,Sushi Bars,Asian Fusion,Steakhouses,Greek,Tex-Mex,Thai,Vietnamese,Indian,Middle Eastern,Southern,Latin American,Hawaiian,Korean,French,Caribbean,Pakistani,Ramen,New Mexican Cuisine,Modern European,Spanish,African,Cantonese,Persian/Iranian,Filipino,Cuban,Mongolian,Lebanese,Polish,Taiwanese,German,Turkish,Ethiopian,Brazilian,Afghan,zipcode,total_pop,occupied_housing_units,white_pop,afam_pop,amindian_pop,asian_pop,hawaiian_pop,other_race,male,female,median_income,median_age,under_18,above_18,walkscore
11,85022,BUcyHikUyo4U12-3RvDKlg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85022,46395.0,20596.0,37995.0,1738.0,714.0,1446.0,54.0,3100.0,22366.0,24029.0,48600.0,38.2,9625.0,36653.0,42.0
12,85028,nUaLFTfUqVKMFQonsWBnag,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85028,19157.0,8143.0,17627.0,242.0,124.0,402.0,16.0,338.0,9283.0,9874.0,90381.0,46.9,3643.0,15458.0,35.0
13,85032,fnaDx7UD4MiodQlgYHDwsQ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85032,65485.0,25991.0,51453.0,1821.0,846.0,1809.0,118.0,7502.0,32618.0,32867.0,48608.0,35.2,15539.0,49191.0,48.0
14,85032,fXzMs__3HjTYwKPMAb4jYA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85032,65485.0,25991.0,51453.0,1821.0,846.0,1809.0,118.0,7502.0,32618.0,32867.0,48608.0,35.2,15539.0,49191.0,48.0
15,85032,8NMf2dCmEGGKYR3SbMcnNA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85032,65485.0,25991.0,51453.0,1821.0,846.0,1809.0,118.0,7502.0,32618.0,32867.0,48608.0,35.2,15539.0,49191.0,48.0
16,85007,Me_pYtoAeA2IkO8jOBi4HA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85007,14040.0,4811.0,7374.0,1880.0,440.0,313.0,17.0,3479.0,7490.0,6550.0,27557.0,35.0,3652.0,8906.0,60.0
17,85048,xePudDnTVh8CART_p0nlxQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85048,33449.0,12613.0,27017.0,1548.0,356.0,2333.0,68.0,900.0,16411.0,17038.0,98382.0,39.1,8940.0,24475.0,43.1219512195122
18,85022,bVqNtwcwIz2gAacHWYF2lw,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85022,46395.0,20596.0,37995.0,1738.0,714.0,1446.0,54.0,3100.0,22366.0,24029.0,48600.0,38.2,9625.0,36653.0,42.0
19,85008,w96oa6oQk2kolYfy8Ja2Mw,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85008,56145.0,19676.0,30274.0,5360.0,2249.0,894.0,141.0,14909.0,29146.0,26999.0,34677.0,27.5,17187.0,38019.0,51.0
20,85051,e-Hw1QkvwM2wN5Wm7p_msw,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85051,40375.0,14174.0,25849.0,2608.0,1256.0,1545.0,97.0,7371.0,20242.0,20133.0,38864.0,32.9,11299.0,28912.0,50.0
21,85024,N1XwkreWIROD2QKhb9qeHg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85024,22898.0,9452.0,19856.0,554.0,187.0,813.0,52.0,704.0,11107.0,11791.0,68557.0,34.7,5438.0,17437.0,22.0
22,85033,MeSrAvgBNWHP2Js2--b6zw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85033,53037.0,13573.0,28819.0,2716.0,920.0,444.0,67.0,18109.0,26504.0,26533.0,35571.0,25.0,20177.0,32843.0,43.0
23,85003,e880MGw6C6PJL-n3EJoY_g,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85003,9369.0,3900.0,5931.0,1024.0,252.0,114.0,22.0,1696.0,5844.0,3525.0,45615.0,31.7,1474.0,5987.0,73.0
24,85029,PUBa8BIIgkfhgE1aucXl3w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85029,43233.0,16370.0,31121.0,2082.0,1096.0,1086.0,84.0,6160.0,21328.0,21905.0,42224.0,33.2,11210.0,31624.0,41.0
25,85051,x_bhc4U_e6lv7Dat2WV04w,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85051,40375.0,14174.0,25849.0,2608.0,1256.0,1545.0,97.0,7371.0,20242.0,20133.0,38864.0,32.9,11299.0,28912.0,50.0
26,85033,2p346MdyPISpZ2k-h0GSqg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85033,53037.0,13573.0,28819.0,2716.0,920.0,444.0,67.0,18109.0,26504.0,26533.0,35571.0,25.0,20177.0,32843.0,43.0
27,85033,8IblwilNlenDVwBbEzQEVg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85033,53037.0,13573.0,28819.0,2716.0,920.0,444.0,67.0,18109.0,26504.0,26533.0,35571.0,25.0,20177.0,32843.0,43.0
28,85022,CR-gLUcudD0AQr7dzASgLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85022,46395.0,20596.0,37995.0,1738.0,714.0,1446.0,54.0,3100.0,22366.0,24029.0,48600.0,38.2,9625.0,36653.0,42.0
29,85019,ZArHo8slPY1RidxBWOEm5Q,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85019,25042.0,6908.0,12788.0,1311.0,648.0,843.0,42.0,8360.0,12608.0,12434.0,30202.0,27.9,8680.0,16342.0,48.0
30,85048,CbpQD3NxSEoN4v7VDXYHAA,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85048,33449.0,12613.0,27017.0,1548.0,356.0,2333.0,68.0,900.0,16411.0,17038.0,98382.0,39.1,8940.0,24475.0,43.1219512195122
31,85032,RWIavDLPCkzyP_ZpkeGtcA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85032,65485.0,25991.0,51453.0,1821.0,846.0,1809.0,118.0,7502.0,32618.0,32867.0,48608.0,35.2,15539.0,49191.0,48.0
32,85006,Wx0ll2UHZl7NBAOFeL4m0A,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85006,25742.0,8565.0,13463.0,1305.0,751.0,266.0,35.0,8935.0,13315.0,12427.0,29903.0,29.3,8003.0,17095.0,64.0
33,85034,ycAmQ9kRi5iB9OyJONacBQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85034,5582.0,1629.0,2850.0,636.0,202.0,59.0,3.0,1627.0,3014.0,2568.0,24046.0,31.7,1713.0,3201.0,61.0
34,85020,5PlbORAcmUAJ0QCMJRSmDw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85020,32850.0,15114.0,25739.0,1197.0,677.0,697.0,42.0,3480.0,16163.0,16687.0,48257.0,41.2,6686.0,25754.0,52.0
35,85032,gE07l6v5mp5TPM4awcm5Xg,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85032,65485.0,25991.0,51453.0,1821.0,846.0,1809.0,118.0,7502.0,32618.0,32867.0,48608.0,35.2,15539.0,49191.0,48.0
36,85008,E3qxMkbKxQR6Aca36c53GA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85008,56145.0,19676.0,30274.0,5360.0,2249.0,894.0,141.0,14909.0,29146.0,26999.0,34677.0,27.5,17187.0,38019.0,51.0
37,85007,eVsO9Bx4-fty-uTzWdZKHg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85007,14040.0,4811.0,7374.0,1880.0,440.0,313.0,17.0,3479.0,7490.0,6550.0,27557.0,35.0,3652.0,8906.0,60.0
38,85051,HNQzTcyaW3PwJ2oC8vKWHw,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85051,40375.0,14174.0,25849.0,2608.0,1256.0,1545.0,97.0,7371.0,20242.0,20133.0,38864.0,32.9,11299.0,28912.0,50.0
39,85007,zLHOG9ty0OcXSQ6iy2BwwA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85007,14040.0,4811.0,7374.0,1880.0,440.0,313.0,17.0,3479.0,7490.0,6550.0,27557.0,35.0,3652.0,8906.0,60.0
40,85013,LyuDnoxI8yiPPmwcF62bfw,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85013,19314.0,9168.0,14167.0,1348.0,768.0,607.0,37.0,1728.0,9859.0,9455.0,50182.0,38.9,3718.0,15358.0,62.0
41,85033,beqqBCKM_4aRPmRzCfk2xA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85033,53037.0,13573.0,28819.0,2716.0,920.0,444.0,67.0,18109.0,26504.0,26533.0,35571.0,25.0,20177.0,32843.0,43.0
42,85020,-lrxtiCaTdCJ9h7uMndsUQ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85020,32850.0,15114.0,25739.0,1197.0,677.0,697.0,42.0,3480.0,16163.0,16687.0,48257.0,41.2,6686.0,25754.0,52.0
43,85032,gkIyPrNGpF4EGqoYWe2KBQ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85032,65485.0,25991.0,51453.0,1821.0,846.0,1809.0,118.0,7502.0,32618.0,32867.0,48608.0,35.2,15539.0,49191.0,48.0
44,85054,yUkOP3Tmdp1pWA7p3zHboQ,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85054,5384.0,2967.0,4636.0,173.0,34.0,293.0,5.0,104.0,2663.0,2721.0,76413.0,35.2,738.0,4633.0,14.0
45,85054,BA2tYMpTHR3i7X-6qtcWaw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85054,5384.0,2967.0,4636.0,173.0,34.0,293.0,5.0,104.0,2663.0,2721.0,76413.0,35.2,738.0,4633.0,14.0
46,85003,GoMlPsj-w62P58ZjUPYKmw,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85003,9369.0,3900.0,5931.0,1024.0,252.0,114.0,22.0,1696.0,5844.0,3525.0,45615.0,31.7,1474.0,5987.0,73.0
47,85020,TQ-FgDYJbJhIXTvSdv-jUw,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85020,32850.0,15114.0,25739.0,1197.0,677.0,697.0,42.0,3480.0,16163.0,16687.0,48257.0,41.2,6686.0,25754.0,52.0
48,85033,0BaMoKDVNv-MP84BQ9EK9A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85033,53037.0,13573.0,28819.0,2716.0,920.0,444.0,67.0,18109.0,26504.0,26533.0,35571.0,25.0,20177.0,32843.0,43.0
49,85033,e0CehK0lUWqd530L4-ni3A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85033,53037.0,13573.0,28819.0,2716.0,920.0,444.0,67.0,18109.0,26504.0,26533.0,35571.0,25.0,20177.0,32843.0,43.0
50,85023,2ADoawEfSAZpnQSwVEo5Ig,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85023,31274.0,12451.0,23674.0,1211.0,507.0,1051.0,58.0,3705.0,15535.0,15739.0,51483.0,34.8,7731.0,23472.0,36.0
51,85032,Znh1IeGT1EbiQsZqg2Acpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85032,65485.0,25991.0,51453.0,1821.0,846.0,1809.0,118.0,7502.0,32618.0,32867.0,48608.0,35.2,15539.0,49191.0,48.0
52,85032,d6kfTFKpKJX93qAEPhBGAg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85032,65485.0,25991.0,51453.0,1821.0,846.0,1809.0,118.0,7502.0,32618.0,32867.0,48608.0,35.2,15539.0,49191.0,48.0
53,85003,QB3y9F9SByx_s6oKSTaSsQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85003,9369.0,3900.0,5931.0,1024.0,252.0,114.0,22.0,1696.0,5844.0,3525.0,45615.0,31.7,1474.0,5987.0,73.0
54,85033,l_Rb8er2wpk4_TZ1R_3sHg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85033,53037.0,13573.0,28819.0,2716.0,920.0,444.0,67.0,18109.0,26504.0,26533.0,35571.0,25.0,20177.0,32843.0,43.0
55,85022,daLsASi-J8zee8cpZSnqjQ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85022,46395.0,20596.0,37995.0,1738.0,714.0,1446.0,54.0,3100.0,22366.0,24029.0,48600.0,38.2,9625.0,36653.0,42.0
56,85034,SgPfkKWoG-23WMWQCT8ymg,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85034,5582.0,1629.0,2850.0,636.0,202.0,59.0,3.0,1627.0,3014.0,2568.0,24046.0,31.7,1713.0,3201.0,61.0
57,85009,MldtbULi0uqWxduSyE663w,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85009,52520.0,12153.0,24795.0,2534.0,1385.0,249.0,39.0,21650.0,28808.0,23712.0,23302.0,25.6,17094.0,28366.0,46.0
58,85035,tVThRKf3tqPqgY7fSnVo8g,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85035,47486.0,12592.0,20665.0,2739.0,1087.0,429.0,67.0,20614.0,23606.0,23880.0,34636.0,24.5,17749.0,29729.0,41.0
59,85003,lH1WyBjyrIlWjYvKmaKctg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85003,9369.0,3900.0,5931.0,1024.0,252.0,114.0,22.0,1696.0,5844.0,3525.0,45615.0,31.7,1474.0,5987.0,73.0
60,85043,7XRbA_t8UNxMHkdslLd5Tw,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85043,30560.0,8240.0,14633.0,2844.0,648.0,672.0,35.0,10539.0,15068.0,15492.0,43895.0,25.7,11558.0,19001.0,21.0
61,85023,ljkkLrW1j-tZtrJq9SFjVQ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85023,31274.0,12451.0,23674.0,1211.0,507.0,1051.0,58.0,3705.0,15535.0,15739.0,51483.0,34.8,7731.0,23472.0,36.0
62,85009,c7JoAt6a3Ufkpn3TrGU23A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85009,52520.0,12153.0,24795.0,2534.0,1385.0,249.0,39.0,21650.0,28808.0,23712.0,23302.0,25.6,17094.0,28366.0,46.0
63,85015,de1OhE-0BHuoI9pzXBKxkQ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85015,37644.0,13420.0,22310.0,3153.0,1893.0,1962.0,113.0,6497.0,19013.0,18631.0,30661.0,30.5,11365.0,26089.0,53.0
64,85022,AdB7a8eo7uK_Fq-aX6_l8g,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85022,46395.0,20596.0,37995.0,1738.0,714.0,1446.0,54.0,3100.0,22366.0,24029.0,48600.0,38.2,9625.0,36653.0,42.0
65,85008,raQFxUEzh8bfHUQLkiNHcg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85008,56145.0,19676.0,30274.0,5360.0,2249.0,894.0,141.0,14909.0,29146.0,26999.0,34677.0,27.5,17187.0,38019.0,51.0
66,85004,5jYYHTRka2SMS7zBOuN9RA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85004,4965.0,2195.0,3265.0,432.0,201.0,132.0,6.0,740.0,2646.0,2319.0,34595.0,30.8,538.0,3258.0,78.0
67,85022,k90yE_IQ4gjcZFNK5t18Qw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85022,46395.0,20596.0,37995.0,1738.0,714.0,1446.0,54.0,3100.0,22366.0,24029.0,48600.0,38.2,9625.0,36653.0,42.0
68,85029,ZCC2rUvs2ydCzR6MjwnOQg,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85029,43233.0,16370.0,31121.0,2082.0,1096.0,1086.0,84.0,6160.0,21328.0,21905.0,42224.0,33.2,11210.0,31624.0,41.0
